,current_soil_moisture,temperature,rain,irrigation_amount
0,11.571459284336711,24.36350297118406,1,78.12960504712025
1,41.82052056318902,38.767857660247905,0,122.6929204034896
2,25.717799053816336,33.29984854528513,1,93.09291056872924
3,35.42853455823514,29.966462104925917,0,294.84964170688204
4,55.37832369630465,18.900466011060914,1,99.59312420303291
5,22.464611457443745,18.899863008405067,0,111.17423093547
6,30.519146151781488,16.452090304204987,1,73.70355567910089
7,47.77755692715243,36.654403644373375,1,54.591577016498896
8,21.43990827458112,30.02787529358022,0,241.1662967757389
9,13.848995491439648,32.70181444490114,0,293.730388794827
10,24.4875726456884,15.51461235739506,1,68.8030010175039
11,18.061064362700225,39.247746304049855,0,267.39277484747475
12,56.484882617128655,35.81106602001054,1,86.68687053108414
13,50.40601897822085,20.308477766956905,0,267.69615275279705
14,41.67018782552117,19.545624180177516,1,42.609147504694114
15,53.57302950938588,19.585112746335845,1,22.257641757103052
16,50.18360384495573,22.60605607398844,1,39.66516019542519
17,19.328502944301793,28.11891079080595,1,89.18969087767766
18,54.627949924498886,25.798625466052897,1,14.660482169202549
19,36.96711209578254,22.28072850495105,1,51.33261686923929
20,50.372007758203125,30.296322368059485,0,146.64561448490556
21,54.80456499617466,18.487346516301045,0,216.2610834453565
22,25.900173748593193,22.303616213380455,0,272.6277043978008
23,15.502596226383838,24.159046082342293,1,88.03599686384167
24,21.396758127097083,26.4017496054259,1,23.668519368207875
25,31.355389431312815,34.62939903482534,1,90.76937063485462
26,50.90073829612466,19.991844553958995,1,59.18887388212843
27,53.036529162817175,27.85586096034029,0,170.0436493400627
28,10.347606526559536,29.810364221551065,0,241.63623911663996
29,35.537365128878285,16.161260317999943,1,48.16669879641153
30,30.87055015743895,30.18862129753596,0,175.5975180244509
31,21.105390523536514,19.263103092182288,0,241.016872859332
32,15.99326836668414,16.62628982463199,1,24.872415443028796
33,26.8807585701814,38.722138431333335,0,166.0505058038197
34,57.14548519562596,39.14080082686398,1,43.445184448827135
35,26.160146601037763,35.20993370291153,0,150.73643477462775
36,35.939531087168305,22.61534422933427,1,40.520208678141714
37,45.15094794475889,17.441802850159597,1,57.147302520501064
38,28.1814801189647,32.10582566280392,1,74.09738609106682
39,58.58910413604803,26.003812343490033,1,76.71948531085717
40,58.12236474710557,18.05095587111947,0,264.5580703753386
41,22.58911479126821,27.379422752781757,1,74.4211656943298
42,34.86242529461927,15.85971302788046,1,68.1039427096909
43,25.043915490838483,37.73301005196955,1,23.750647129246993
44,24.24202471887338,21.469499540000424,0,180.04457857440497
45,11.84434736772664,31.56305710884955,1,47.77148908802277
46,40.47821669899484,22.792776902235275,0,116.57826433867083
47,35.13395116144308,28.00170052944527,1,52.83701212972092
48,12.573937562499466,28.66775698358199,0,187.2671663213112
49,23.93232321183057,19.621361388138176,0,260.4218498053468
50,55.41329429833269,39.239615694113965,1,97.79006687542709
51,21.97809453334862,34.37832058402786,0,211.2010077285169
52,17.244743604561155,38.48747353910473,1,32.268638827758366
53,34.472638013878154,37.37068376069122,1,4.340078329817276
54,59.282522705530035,29.94749947027713,1,92.4643330223596
55,22.10276357557502,38.04685587557792,0,283.82314305573186
56,43.606777370293926,17.212312551297988,0,150.59803359784823
57,48.08098076643588,19.89957156047863,1,69.54111231066476
58,21.881877199619986,16.13068222276345,1,7.543454708976927
59,46.41081743059298,23.133258269081608,0,133.2430863818506
60,28.38915663596266,24.71693224223705,1,21.68091065864912
61,41.61529152967897,21.783725794347397,1,29.449394683942987
62,41.67648553804473,35.718437728798236,1,99.58313750293706
63,36.78873420373792,23.918833167339734,0,239.38501117276297
64,14.514488502720416,22.023362742184517,0,176.840366275844
65,51.7651247794619,28.567402078956217,0,247.42014116860383
66,26.03900324858679,18.523105624369062,1,91.52543416691064
