id,temperature,humidity,rain,salinity,ph,soil_moisture
20250428000000,26.67599868774414,89.0,0.0,20.1,6.5,32.4
20250428000100,26.67599868774414,89.0,0.0,20.0,5.5,23.8
20250428000200,26.67599868774414,89.0,0.0,20.0,6.4,24.6
20250428000300,26.67599868774414,89.0,0.0,20.0,5.6,35.5
20250428000400,26.67599868774414,89.0,0.0,19.5,5.9,26.8
20250428000500,26.67599868774414,89.0,0.0,19.2,6.5,23.0
20250428000600,26.67599868774414,89.0,0.0,19.8,6.5,17.4
20250428000700,26.67599868774414,89.0,0.0,20.0,6.4,20.7
20250428000800,26.67599868774414,89.0,0.0,20.4,5.5,38.5
20250428000900,26.67599868774414,89.0,0.0,19.1,5.7,30.6
20250428001000,26.67599868774414,89.0,0.0,20.1,6.2,34.8
20250428001100,26.67599868774414,89.0,0.0,20.6,6.5,34.9
20250428001200,26.67599868774414,89.0,0.0,20.1,5.6,36.1
20250428001300,26.67599868774414,89.0,0.0,20.2,5.7,16.5
20250428001400,26.67599868774414,89.0,0.0,19.6,5.7,29.4
20250428001500,26.67599868774414,89.0,0.0,20.9,6.1,28.4
20250428001600,26.67599868774414,89.0,0.0,19.5,5.6,16.9
20250428001700,26.67599868774414,89.0,0.0,19.7,5.7,21.6
20250428001800,26.67599868774414,89.0,0.0,19.6,6.0,29.2
20250428001900,26.67599868774414,89.0,0.0,20.6,5.9,35.0
20250428002000,26.67599868774414,89.0,0.0,19.1,5.9,27.5
20250428002100,26.67599868774414,89.0,0.0,20.7,6.5,17.9
20250428002200,26.67599868774414,89.0,0.0,19.6,6.0,37.4
20250428002300,26.67599868774414,89.0,0.0,20.9,5.7,35.3
20250428002400,26.67599868774414,89.0,0.0,20.8,5.6,23.2
20250428002500,26.67599868774414,89.0,0.0,20.5,5.8,31.9
20250428002600,26.67599868774414,89.0,0.0,19.0,5.9,33.7
20250428002700,26.67599868774414,89.0,0.0,20.4,5.9,38.7
20250428002800,26.67599868774414,89.0,0.0,20.8,5.9,33.9
20250428002900,26.67599868774414,89.0,0.0,21.0,5.6,27.0
20250428003000,26.67599868774414,89.0,0.0,20.1,5.7,34.9
20250428003100,26.67599868774414,89.0,0.0,20.8,6.1,18.0
20250428003200,26.67599868774414,89.0,0.0,20.9,6.0,32.1
20250428003300,26.67599868774414,89.0,0.0,21.0,5.8,18.4
20250428003400,26.67599868774414,89.0,0.0,19.1,6.3,26.9
20250428003500,26.67599868774414,89.0,0.0,19.4,5.6,19.5
20250428003600,26.67599868774414,89.0,0.0,20.2,5.9,30.2
20250428003700,26.67599868774414,89.0,0.0,20.5,5.9,18.9
20250428003800,26.67599868774414,89.0,0.0,20.5,5.8,15.4
20250428003900,26.67599868774414,89.0,0.0,19.3,5.8,26.3
20250428004000,26.67599868774414,89.0,0.0,20.6,5.8,35.3
20250428004100,26.67599868774414,89.0,0.0,20.7,5.8,28.9
20250428004200,26.67599868774414,89.0,0.0,20.6,5.6,19.2
20250428004300,26.67599868774414,89.0,0.0,19.7,6.4,21.1
20250428004400,26.67599868774414,89.0,0.0,20.7,6.2,26.9
20250428004500,26.67599868774414,89.0,0.0,20.8,6.4,25.8
20250428004600,26.67599868774414,89.0,0.0,20.7,6.2,29.5
20250428004700,26.67599868774414,89.0,0.0,21.0,5.7,22.3
20250428004800,26.67599868774414,89.0,0.0,20.1,6.1,32.4
20250428004900,26.67599868774414,89.0,0.0,20.0,5.6,25.3
20250428005000,26.67599868774414,89.0,0.0,20.1,5.9,21.2
20250428005100,26.67599868774414,89.0,0.0,20.1,6.1,28.9
20250428005200,26.67599868774414,89.0,0.0,19.6,5.8,26.2
20250428005300,26.67599868774414,89.0,0.0,19.9,6.1,27.5
20250428005400,26.67599868774414,89.0,0.0,20.4,6.3,17.8
20250428005500,26.67599868774414,89.0,0.0,21.0,5.6,38.2
20250428005600,26.67599868774414,89.0,0.0,19.6,5.9,32.4
20250428005700,26.67599868774414,89.0,0.0,19.4,6.4,34.8
20250428005800,26.67599868774414,89.0,0.0,20.4,6.1,17.5
20250428005900,26.67599868774414,89.0,0.0,20.2,5.6,18.2
20250428010000,26.525999069213867,90.0,0.0,20.1,6.4,26.3
20250428010100,26.525999069213867,90.0,0.0,19.6,6.0,27.5
20250428010200,26.525999069213867,90.0,0.0,20.9,5.9,37.6
20250428010300,26.525999069213867,90.0,0.0,20.3,6.5,19.3
20250428010400,26.525999069213867,90.0,0.0,19.4,6.3,34.9
20250428010500,26.525999069213867,90.0,0.0,20.1,6.2,33.9
20250428010600,26.525999069213867,90.0,0.0,20.4,5.8,28.9
20250428010700,26.525999069213867,90.0,0.0,20.4,5.8,21.6
20250428010800,26.525999069213867,90.0,0.0,20.4,6.2,20.1
20250428010900,26.525999069213867,90.0,0.0,19.2,6.5,27.7
20250428011000,26.525999069213867,90.0,0.0,19.0,5.6,22.8
20250428011100,26.525999069213867,90.0,0.0,19.6,6.3,20.9
20250428011200,26.525999069213867,90.0,0.0,20.3,6.4,37.1
20250428011300,26.525999069213867,90.0,0.0,19.5,5.7,29.4
20250428011400,26.525999069213867,90.0,0.0,20.0,6.0,37.4
20250428011500,26.525999069213867,90.0,0.0,19.1,6.2,35.8
20250428011600,26.525999069213867,90.0,0.0,19.7,5.7,31.2
20250428011700,26.525999069213867,90.0,0.0,20.1,6.0,35.0
20250428011800,26.525999069213867,90.0,0.0,20.1,5.6,29.2
20250428011900,26.525999069213867,90.0,0.0,19.9,6.1,24.7
20250428012000,26.525999069213867,90.0,0.0,20.9,6.2,18.8
20250428012100,26.525999069213867,90.0,0.0,20.1,6.0,25.9
20250428012200,26.525999069213867,90.0,0.0,19.8,5.9,28.1
