,episode,total_reward,average_loss
0,1,-2.1,0.0
1,2,-0.04999999999999982,0.0
2,3,-4.55,0.0
3,4,-0.5499999999999998,0.0
4,5,-0.7000000000000002,0.0
5,6,-0.6500000000000004,2.037771373987198
6,7,-3.0,1.4961813688278198
7,8,-0.15000000000000013,1.008992423613866
8,9,-3.95,1.160613864660263
9,10,-1.7000000000000002,1.1615969340006511
10,11,-3.0,1.3353790442148845
11,12,-1.1500000000000001,1.1122110684712727
12,13,-0.04999999999999982,1.108086069424947
13,14,-2.0,1.0032446881135304
14,15,0.44999999999999996,0.8775209387143453
15,16,0.55,1.0004533131917317
16,17,-1.7000000000000002,0.9131658971309662
17,18,-3.55,1.1173101365566254
18,19,-1.5,0.8683806558450063
19,20,-1.6,1.1549580295880635
20,21,-4.05,0.888619581858317
21,22,1.5,0.8377296974261602
22,23,3.45,1.0229629774888356
23,24,-3.1000000000000005,0.8230367600917816
24,25,-1.7000000000000002,0.9292868276437124
25,26,-2.2,0.9479527672131857
26,27,-2.5999999999999996,0.9309359689553579
27,28,-1.1,0.6379690816005071
28,29,-3.1,0.8833667635917664
29,30,-0.050000000000000044,0.8896449357271194
30,31,-1.6,0.9104155600070953
31,32,-2.2,0.7868117988109589
32,33,2.0,0.6768797437349955
33,34,1.4999999999999998,0.6030940090616544
34,35,-3.5500000000000007,0.7993924617767334
35,36,-1.2000000000000002,0.7121557792027792
36,37,0.04999999999999982,0.5834366381168365
37,38,1.9,0.7214276095231374
38,39,-1.1500000000000004,0.8211171428362528
39,40,-0.4500000000000002,0.7427428563435873
40,41,-6.6,0.9298379222551981
41,42,-1.5,0.7584346234798431
42,43,-1.0,0.7876225610574087
43,44,-0.6500000000000001,0.7622812738021215
44,45,-1.9999999999999998,0.8110104401906332
45,46,-1.5,0.5810995648304621
46,47,2.5,0.7761843601862589
47,48,1.9000000000000001,0.548657163977623
48,49,-5.1499999999999995,0.6522973279158274
49,50,0.34999999999999987,0.7699781060218811
50,51,0.44999999999999996,0.7187968641519547
51,52,-2.7,0.8396891256173452
52,53,-2.1,0.7471927801767985
53,54,1.9000000000000001,0.791287769873937
54,55,2.0,0.7246414124965668
55,56,-3.6499999999999995,0.8364585737387339
56,57,0.44999999999999996,0.9214460253715515
57,58,6.0,0.7046686311562856
58,59,-2.0,0.5847189029057821
59,60,2.4,0.608234574397405
60,61,-3.5999999999999996,0.6965862611929575
61,62,-1.6,0.5732673207918803
62,63,-1.1,0.7570653309424719
63,64,0.95,0.7029282748699188
64,65,-0.5499999999999998,0.5168439497550329
65,66,0.44999999999999996,0.7768932630618414
66,67,-3.8500000000000005,0.6352733671665192
67,68,-2.0,0.5039281795422236
68,69,-5.15,0.6043613453706106
69,70,2.0,0.6920853108167648
70,71,-0.55,0.6316199650367101
71,72,6.0,0.7439608871936798
72,73,-1.7999999999999998,0.7754171888033549
73,74,2.4000000000000004,0.6712206304073334
74,75,0.34999999999999987,0.8563746412595113
75,76,2.0999999999999996,0.9342967967192332
76,77,0.8499999999999999,0.8422264804442724
77,78,0.44999999999999973,1.158865104118983
78,79,-3.0999999999999996,1.1000615954399109
79,80,1.4999999999999998,0.9509592056274414
80,81,-4.15,1.1175941427548726
81,82,-0.050000000000000044,0.807770440975825
82,83,-0.55,0.9471748868624369
83,84,3.95,0.7680248220761617
84,85,4.05,0.7923476745684942
85,86,1.4999999999999998,0.9348124911387762
86,87,1.4,0.8644421597321829
87,88,1.9000000000000001,0.6861346562703451
88,89,-2.5999999999999996,0.5913825730482737
89,90,-1.7000000000000004,0.9184848566850027
90,91,6.0,0.7825738787651062
91,92,4.45,0.8883171180884043
92,93,-3.2,0.7200587689876556
93,94,1.9000000000000001,0.7887145181496938
94,95,-2.0,0.786984865864118
95,96,-0.5499999999999998,0.9452784657478333
96,97,0.050000000000000044,0.9250509341557821
97,98,-2.0,0.8901747663815817
98,99,1.9000000000000001,0.9554868439833323
99,100,6.0,0.9369180997212728
